_id,topic,heading,summary,date_published,content,tags
5ef0d2b4d83b3587cb500ec9,"[""analysis""]","[""Don’t discriminate against non-resident migrants | Opinion""]","[""Create a legal regime that allows them to access safety, shelter and welfare services on equal terms as residents""]","[""Updated: Jun 22, 2020 19:30 IST""]","[""Prime Minister (PM) Narendra Modi recently announced that India must become "",""(self-reliant). One aspect of this could be that India will remove barriers within its internal markets to truly become a single market. It will remove the hurdles to efficiency improvements and become more competitive. The Goods and Services Tax (GST) was a step in this direction. Recent decisions to remove hurdles in inter-state agricultural trade are also similar. For agricultural and industrial products, as well as capital, India is increasingly becoming a single market. The creation of a barrier-free domestic market is also an intent reflected in Article 301 of the Constitution."",""However, there is one market where frictions are being added rather than reduced. This is the labour market. For different reasons, leaders from out-migration and in-migration states have made statements suggesting that there may be more impediments to the inter-state migration of workers. Some states have announced preferential treatment for workers from within the state. Others have spoken of instituting an approval system before allowing their workers to move to other states, in the backdrop of how they were treated."",""There are compelling reasons for internal migration in India."",""First, India has much higher economic differences across states than comparable countries — with the per capita income of the richest large state (Haryana) being more than six times that of the poorest state (Bihar). The wage gap between states is as high as 100% for regular workers and 250% for casual workers. It is, therefore, no wonder that workers from the poorer states migrate to richer states for work. As of now, the best option for many poor people looking to escape poverty is to leave the states they live in, because of economic opportunities in richer states. This movement is difficult since the cost of living is also higher in richer states. However, millions still migrate and brave squalid conditions in in-migration states because they need livelihoods."",""Second, some of the poorer states such as Uttar Pradesh and Bihar have younger and larger populations, with many more workers than work opportunities. While these states must develop their economies, in the short-term, migration is an essential component of development for them."",""Third, India’s growth has been largely services-led. For most services, the availability of physical labour is essential. For services such as cooking, driving, hairdressing and security, there is a need for workers to be physically present to provide the service."",""While beneficial for migrants, migration also has negative implications. Migration can put downward pressure on wages in richer states, with the increase in the supply of workers. This creates an incentive for regional and local leaders to generate anti-migrant sentiments, and to promote policies that favour local workers. This dynamic is not very different from the one seen in international migration — after a point, a political economy develops to oppose migration."",""Throughout India’s history, states have enacted laws and measures that are discriminatory vis-à-vis non-resident migrants. Many state laws discourage or prevent non-residents from applying for government jobs or other professions that require government licensing (auto, taxi licences), or deny them the benefits of educational reservations. Other laws, prevalent in some states of the Northeast, regulate the entry of non-residents within the state. Yet another category of laws prevents non-residents from owning property (such as in Himachal Pradesh, Uttarakhand and others). The Union government has recently announced “One Nation One Ration Card” because non-resident migrants are currently ineligible for many state welfare schemes."",""Even though Article 19(1)(d) of the Constitution guarantees free movement and residence, states have enacted “reasonable restrictions” to disfavour non-resident migrants. Article 16 outlaws discrimination in employment on the grounds of residence, but the criteria for determining reservations is usually linked to local demographic characteristics. The courts have also largely upheld positive discrimination in employment and education that nonetheless discriminates against non-residents. They have upheld not just residency as a ground for eligibility for jobs and educational seats, but also the charging of differential capitation fees based on residency. In doing so, courts have generally privileged the equality interests in the Constitution at the cost of free movement and residence."",""While such measures ostensibly serve to protect local constituents, they inhibit migration and thus the law of comparative advantage from operating to the benefit of in-migration states. Bengaluru could not have become a hub for information technology if it had imposed restrictions on the movement of skilled professional migrants who eventually settled in the city. Contrary to nativist sentiments, Karnataka’s population has been a net beneficiary of this in-migration because of the increased contribution of Bengaluru to Karnataka’s Gross Domestic Product (GDP) besides the value of diversity."",""This benefit is not limited to skilled or high-end services. To the extent that Bengaluru’s economy powers Karnataka’s growth, a migrant hairdresser working in Bangalore is also important for the state’s economy. This was evident recently when the Karnataka government wanted to prevent migrants from leaving for their home states because of their importance to the construction industry. It is, therefore, time to seriously re-examine the legal framework that inhibits the movement of migrants across the country, and prevents them from accessing safety, shelter and welfare services on equal terms as residents.""]","[""India"",""Narendra Modi"",""BIHAR"",""Haryana"",""Migrant""]"
5ef0d2b6d83b3587cb500eca,,"[""‘Sino-India ties will deteriorate further’: Ex-envoy to China on Galwan faceoff   ""]","[""Other Videos""]",,,
5ef0d2b8d83b3587cb500ecb,"[""opinion""]","[""India has closed military gap with China along border""]","[""Over the past dozen years India has not only closed the gap with China in this military theatre, it may now have a slender superiority. ""]","[""Updated: Jun 22, 2020 16:01 IST""]","[""India has the "","", says a recent Harvard University assessment. If the Chinese attacked, co-author Frank O’Donnell of the US Naval War College told HT, “due to the larger permanent military presence of Indian forces vis-a-vis Chinese forces along the border areas, India would eventually be able to force China back across the LAC, although casualties would be extremely high on both sides.” One unknown in such a conflict would be China’s ability to use cyberattacks to disable Indian communications and logistics. "",""Over the past dozen years India has not only closed the gap with China in this military theatre, it may now have a slender superiority. Indian officials largely concur with this view though prefer to stress India does not enjoy a position of complete dominance. Chinese military assessments began recognizing this problem from the mid-2000s and this may have contributed its border belligerence. "",""India and China have a similar number of soldiers along the border, a little over 200,000 each, but a portion of Chinese troops are reserved for the Russian border and handling insurgents in Tibet and Xinjiang. India holds a slight edge in fighter aircraft numbers but, more importantly, its Su-30s are superior to any Chinese fighters in the area and its base network allows it to better survive the missile exchanges that would follow. “India has more and better aircraft along the border, more experienced air crews, as well as a resilient basing position,” says O’Donnell."",""“China is regularly operating with a permanent Indian conventional force advantage along its border areas,” says the report. It notes this is not “typically acknowledged” in Indian debates and optimists regarding the military balance against China were “a minority” in India. "",""For decades, going by the People’s Liberation Army’s journal, "","", India was rated only as China’s number four external security concern. This has begun to change. The China National Defence Daily by 2013 spoke of India’s “surge of forces” along the border. A 2017 Nanfang Daily survey of Chinese strategic thinkers said some were worrying that “the defensive strategy of the Indian Army has shifted . . . toward the offensive.” Two Chinese experts on territorial issues warned in 2014 that “keeping our military’s advantage in the Sino-Indian border area is not only a national defense requirement, but also to prevent China from being disadvantaged in border negotiations.” There is more literature in the Chinese language about India catching up in terms of military infrastructure and force deployment after the Doklam crisis, says General G. L. Narasimhan Rao, head of the Centre for the Study of Contemporary China. "",""India is far from being in a position of military preponderance. Indian defence officials point to the “touch and go nature” of the mountain environment means a numerical advantage in men and aircraft can be wiped out by inclement weather. China keeps most of its military firepower along its Pacific coast and would almost certainly redeploy to go for a “round two,” warns O’Donnell. M. Taylor Fravel, an MIT professor who has written on China’s border policies, says that “China has just over 10 percent of its ground forces [in its western theatre], a very large part of the country, and not even all these troops are focused on India.” But because China does not want to deploy a large fraction of its forces in Tibet or Xinjiang, he added, “I think this disparity in the local balance makes China especially sensitive to changes that improves India’s position.” Did India’s steady military improvement trigger Beijing is harder to ascertain. O’Donnell thinks China’s greater border aggression is a general trend evident in its behaviour with all its neighbours and not just about India. ""]","[""Indian Army"",""Galwan Valley"",""India China border""]"
5ef0d2bad83b3587cb500ecc,"[""opinion""]","[""Ladakh faceoff: Looking back for a way forward""]","[""DRAW THE LINE Policing the borders and preventing intrusions are different matters. The role of the military is defined and it must work within those parameters. Unarmed troops must not be sent to remove an intrusion. Dual responsibility and accountability between the ITBP and the army has been fully exploited by the Chinese""]","[""Updated: Jun 22, 2020 18:06 IST""]","[""On December 11, 1917, General Edmund Allenby entered the holy city of Jerusalem bareheaded and on foot, a feat which even the greatest English warrior King, Richard the Lionheart, and the crusaders were unable to achieve. Lining the street from Jaffa Gate to the city centre were Indian soldiers who had made it possible. Today, a 250-year-old, proud, experienced, and battle-hardened army with many achievements in war, counter-insurgency, internal disturbances and UN peacekeeping missions has been reduced to an unarmed, fist-fighting entity. With pain and anguish, the serving soldiers and veterans ask; where did it all go wrong? The obvious answer is that our policies over the years have come home to roost and haunt us."",""A soldier is armed and trained to fight with his weapon. A police force is meant to police. The Line of Actual Control (LAC) in the northern and central sectors is managed by the Indo-Tibetan Border Police. It reports directly to the home ministry. Somewhere down the line, a decision was taken to strengthen the ITBP patrols with regular soldiers. This allowed the local commanders to remain abreast with the happenings on the LAC. In a period of peace and tranquility, regular soldiers had to per force follow the protocol of patrolling without weapons, leading to push and shove tactics as seen in its magnified form in Doklam."",""Policing the borders and preventing intrusions are different matters. The role of the military is defined and it must work within those parameters. Unarmed troops must not be sent to remove an intrusion. Dual responsibility and accountability between the ITBP and the army has been fully exploited by the Chinese."",""COMMAND AND CONTROL PROBLEMS"",""We are in the process of improving infrastructure in the North-East and Ladakh for economic development and also to ward off the Chinese threat, but they have been ahead of us in this area. Heavy expenditure on these projects will go waste if we are unable to protect these against aggression. Considering the length and breadth of our borders and the new insight into Chinese intentions, it will be difficult to ignore the requirement of sufficient boots on the ground."",""Whenever economic constraints are felt, the defence forces become victims of the first surgery on funds and manpower. In national interest, we have tried to accommodate this phenomena and at times voluntarily applied cuts. Our past policy of making up shortfalls by raising and employing central police forces such as the Border Security Force, Central Reserve Police Force and the ITBP, in a military role for crisis management has many pitfalls and may not find a place in the future."",""In real terms it may not lead to substantial savings, considering the expenditure on equipping and maintaining them. This jointmanship also leads to command and control problems and turf wars. Prolonged employment and joint operations can affect the army culture and ethos, giving the go by to professional military orientation and imbibing some of the adverse traits associated with such employment."",""UNSUITABLE SELECTION POLICY"",""Militaries all over the world are functionally required to be structured in a hierarchy rapidly narrowing upwards. Career progression towards higher ranks cannot match other organisations. In an attempt to address individual aspirations over organisational interests, we have carried out a series of upgrades and added appointments. "",""Over a period of time, command tenures at various levels have been reduced. It takes some time for a commander to comprehend the operational situation, establish rapport with his juniors and troops and gain their confidence. A short tenure does not allow this. "",""In a war-like situation, a brief tenure may not allow the commander to exploit the full potential of his command. Connected with this is the selection policy for promotion to higher ranks. A tried and tested system of the army council (all army commanders) assessing an individual for higher command appointments based on personal knowledge, spoken reputation, acceptance by peers and subordinates and evolving a consensus was replaced by a quantified point system. This system based on an anonymous merit list is most unsuitable for selecting military commanders."",""COMMENTS AND CONCLUSIONS "",""In the present day media and information age, news and opinions are generated in real time. In the absence of accurate situational information, comments and conclusions are generated on assumptions or sensitive information inadvertently divulged. The military needs to be oriented towards handling the information and perception domain, while senior veterans need to be restrained in their comments, especially those based on confidential information gained while in service."",""Some of the policies on border management are now in the public domain. Veterans should be aware that these policies have been followed for a long period. It is unfortunate that the present generation has had to bear the brunt of past miscalculations. It is now time for a review."",""Finally, about our soldier. Discipline precludes his speaking out but he certainly thinks and has an opinion. He continuously monitors policies that will affect his employment, emoluments, living conditions and the adequacy of his personal equipment and weapons."",""The young men of the Indian Army are its very backbone. Our military leadership and government must continuously nurture this valuable asset at all costs. "",""The writer is a former director general of military operations and GOC-in-C of Southern Command""]",
5ef0d2bdd83b3587cb500ecd,"[""editorials""]","[""Redesign the model village scheme | HT Editorial""]","[""For MPs to take it up, expand its ambit to a cluster of villages and provide it funds""]","[""Updated: Jun 22, 2020 18:56 IST""]","[""A study commissioned by the Union ministry of rural development on the Saansad Adarsh Gram Yojana (SAGY), launched by Prime Minister (PM) Narendra Modi in 2014, has said that the scheme has not made “any significant impact” and “is not achieving the desired purpose”. PM Modi had urged Members of Parliament (MPs) to adopt one or more villages in their constituency and turn them into “model villages”.  "",""While, in principle, SAGY is a good idea. But there are both political and structural flaws in its design. It fails to appreciate a ground reality. Any MP will find it difficult, if not impossible, to prioritise one village over another. A Lok Sabha MP represents, on an average, over 1.5 million voters of different castes, religion, gender and age groups, each with their own set of demands. For an MP to cherry-pick a few villages can be both politically counterproductive, and can disturb the delicate social equilibrium in villages/constituencies. Additionally, the scheme has no separate budgetary allocation and MPs are unwilling to allocate funds from the MP Local Area Development Scheme for projects in the model villages. "",""However, with the Covid-19 pandemic wrecking lives and livelihoods, and spurring an exodus of labourers from cities to villages, a new and redesigned SAGY, with funding, can work. For this, expand the ambit from one village to a cluster of villages.  Follow it up with mapping the skill sets of residents and upgrading/re-skilling them; investing in farm and related infrastructure such as cold chains and food processing units; and building critical infrastructure. This is politically more feasible for elected representatives, and can create economic opportunities within villages. ""]",
5ef0d2bed83b3587cb500ece,"[""columns""]","[""How China has overplayed its hand, writes Baijayant ‘Jay’ Panda""]","[""Beijing’s belligerence reflects a familiar historic tension. India will seek peace, but from strength""]","[""Updated: Jun 22, 2020 19:31 IST""]","[""Almost 2,500 years ago, Greek historian, Thucydides, wrote of the devastating Peloponnesian War, “What made war inevitable was the growth of Athenian power and the fear which this caused in Sparta.” There have been other such conflicts in history between established powers and rising ones, not all of which resulted in war. The same theme is playing out today, in the tensions between the United States (US) and China, and China and India."",""In his provocative 2017 book, "","","",""Harvard University professor Graham Allison was not optimistic. He wrote, “When one great power threatens to displace another, war is almost always the result”, citing 16 such conflicts in history, of which only four navigated the transition without war."",""Nevertheless, war is not inevitable. Among successful examples cited by Allison, the following two are instructive. First, when a century ago, the US overtook the United Kingdom (UK) as the world’s pre-eminent superpower. It took accommodation by the established power, the UK, as well as statesmanship and negotiating skills on both sides."",""A second approach involved a different strategy, where the established power, the US and the contender, the Union of Soviet Socialist Republics (USSR) were continually attempting to contain each other for decades, but did not go to war. The Cold War, in that sense, was one of the great successes of the modern era in avoiding all-out war. That was a good thing, considering that nuclear weapons were part of the equation for the first time in superpower conflicts. The US approach to the rise of China had essentially been like that first approach —the UK vs the US— for decades, but has recently been decidedly shifting towards the second strategy, that of the US vs the USSR. China’s approach towards India has always been like the latter."",""The US accommodation of China began with the Richard Nixon administration in the early 1970s, at the height of its rivalry with the USSR, when China was an impoverished developing nation. It stemmed from self-interest, of course, not least to counter the USSR, but also to develop a big new market for American products and a source of cheap imports. Earlier American administrations tried the same with India, but failed to crack India’s Nehruvian disdain for free markets and post-colonial suspicion of the West."",""There was also a belief in the West, now belied, that as China prospered, it would also become less autocratic and a more open society. While the relationship was mutually beneficial for decades, in recent years, it has soured considerably. As China became the third largest and then the second-largest economy after the US, it progressively stopped playing by the rules from which it had itself benefited, and, in fact, started flexing both economic and military muscles. Nixon himself, long after ceasing to be president, said of China, “We may have created a Frankenstein’s monster.”"",""China’s approach towards India was always about containment. Right from the 1940s, as both emerged into a new, post-colonial, post-World War II era, it has viewed India as a long-term competitor that must be checked. Thus, its relentless focus on keeping India under pressure, and slowing down its resurgence, from every possible angle, using every possible tool at hand."",""China’s India-containment strategy was clear since its early patronage of Pakistan from the 1950s. It has continued to exploit that benighted nation as a client-state, primarily to act as a brake on India. Then, while establishing a detente on the Line of Actual Control (LAC) with India for nearly half-a-century, China began leveraging its fast-growing economy to implement the “string of pearls” strategy to encircle India from south-east Asia to Africa. This has recently seen sharp acceleration, with the Belt and Road Initiative projects such as Hambantota and Gwadar ports in Sri Lanka and Pakistan, and the China-Pakistan Economic Corridor running right through Pakistan-occupied Kashmir."",""Most significantly, China has feverishly stepped up its attempts to cultivate Pakistan-like client states among India’s immediate neighbours, as recent developments in Nepal have shown. Furthermore, as covered in the previous edition of this column, in recent years China has also begun asserting itself globally, raising the hackles of nations near and far."",""India has also been changing. It had earlier wasted decades of LAC detente (when “no bullet was fired in anger, no life was lost”) by being laggardly about fortifying its border defences, unlike the Chinese. That has changed dramatically since 2014, with huge increases in infrastructure expenditure in border states, both civilian and defence. As many commentators have noted, the recent rapid scaling up of infrastructure on India’s side of the LAC was one of the key triggers for the current clash, with China wanting to intimidate India from trying to achieve parity. The Modi government has also taken similar steps abroad, for instance, by finally commissioning Chabahar port in Iran after decades of delay."",""This time, China has badly overplayed its hand, and been shocked by India’s determined resistance. The Modi doctrine is clearly rooted in Kautilyan principles. Unlike his predecessors, he will not be complacent with defences because of opponents’ words of peace. He will seek peace like them, but maintain it from a patient, gradually-built position of strength.""]","[""CHINA"",""India""]"
5ef0d2c1d83b3587cb500ecf,"[""analysis""]","[""Defending a historically undefined border line | Opinion""]","[""China’s decision to erect tents at a sensitive point in Galwan on LAC was unjustified and unacceptable   ""]","[""Updated: Jun 22, 2020 19:19 IST""]","[""In my younger days, I led a couple of long-range patrols along the McMahon Line. One patrol was to go to Khang La, located on the watershed. We were late and lost a lot of daylight hours, but we pressed on to finish our task. We then strayed across the line by almost a kilometre. With no Chinese troops in sight, we divided our patrol into two teams and located Khang La only the next morning. As a young subaltern, this was my introduction to the Line of Actual Control (LAC). I later commanded the division on LAC in Arunachal Pradesh and then 14 Corps in Ladakh a few years ago. I have flown over the Galwan Valley several times. The ridge lines on the watershed are a maze with hardly any posts close to the line or any demarcation."",""The current boundary, LAC between India and China in eastern Ladakh, is an outcome of bloody battles fought in 1962 between the two countries in this most rugged and inhospitable of terrains. These battles were fought in October-November at Daulat Begh Oldi (DBO), Galwan, and Hot Springs, areas astride Pangong Tso lake, Razangla and Demchok. Due to severely low temperatures and high casualties, these battles came to a halt and the Chinese withdrew to their bases. Similarly, the Indian Army also moved back to nearby bases. Since then, both militaries are present there in the absence of a formal political boundary settlement. Twenty-two rounds of boundary talks have taken place between the two nations, without any worthwhile outcome. India continues to claim the entire Aksai Chin and China claims areas along a line, best described by India as the line of “Chinese perception”."",""The British left these boundaries un-demarcated. Its maps showed several lines, one running along the Kun-lun mountains, referred to as the Johnson-Ardagh line showing Aksai Chin as a territory within Jammu and Kashmir. Another is marked closer to the Karakoram Range described as the Macartney-MacDonald line and yet another line further west is called the Foreign Office Line. Post-Independence, these were left to the interpretation of stakeholders such as the rulers of Jammu and Kashmir, Tibet and the Indian and Chinese governments. Haphazard historical records, differing perceptions, and the machinations of cunning political leaders, left these lines to be deciphered by experts from both sides, albeit unsuccessfully. Meanwhile, the militaries of both sides have been left to hold ground that is divided by this history."",""While India published its map in 1954, with the international border (IB) showing Aksai Chin as Indian territory, the Chinese built the western highway through Aksai Chin in 1955 linking Tibet with Kashgarh and Xingjiang. With India’s claims as they stand, the Chinese would have considered it prudent to secure the area west of this sensitive highway. This was to be best achieved by dominating the ridge lines that run along the Karakoram Range between the watersheds of the Chip-Chap river and Galwan river, and then, moving further south-east along the ridge lines west of the Chang Chenmo Range. The Chinese concept of defending these areas is to keep the Indian forces at a stand-off distance from this highway. With the increasing ranges of artillery and surveillance resources, China seems desperate to push its claim lines further to the west. The Indian Army has a clear mandate to prevent any encroachment and alteration of LAC by the People’s Liberation Army (PLA), not allowing the Chinese to unilaterally change the status of the boundary. The expression LAC was first used by Chinese Prime Minister Chou en-Lai himself in a letter to Prime Minister Jawaharlal Nehru in 1959."",""Today, the boundary in eastern Ladakh is over 800km with LAC being approximately 550km. Chinese patrols ensure they keep the passes off the watershed under domination so as not to allow the Indian troops to occupy the ground beyond. They continue to build tracks that generally emanate from the western highway and progressively move westward towards LAC to dominate the passes or crossing points. Hot Springs and Galwan are areas where both sides have been making roads and tracks. The Chinese have an advantage of terrain which is more open, plain and served by the western highway. Chinese patrols are fresh when they reach points of patrolling, often using centrally-heated vehicles."",""LAC has neither been surveyed nor marked on the ground. It is a line drawn with a thick pen on the map. This could translate into anything like 100 metres on the ground. A tent pitched a few metres this way or that way along this line can create trouble. However, the tents that the PLA erected along LAC was from where it can see straight into the Galwan Nala, leading to the sensitive Indian Darbuk-Shyok-DBO road and, therefore, unacceptable to India, just as the PLA is sensitive to Indian domination of the western highway. Since 1993, many agreements have been signed between the two countries to resolve such matters peacefully and according to laid-out protocols. The agreement of 1996 mentions that military means shall not be used while dealing with such border situations."",""In the absence of any boundary settlement, both sides have come face-to-face several times resulting in clashes, with recent ones being in 2013 at Depsang, Demckok and Chumar in eastern Ladakh. The incident at Galwan is a flashpoint of the worst kind in recent times. It can have serious ramifications when both nations have large conventional forces backed by nuclear weapons. Can the two countries afford to go to war that too when the world is reeling from the coronavirus pandemic? Why China would choose to display such belligerence at this time is open to a larger debate.""]","[""LAC"",""Galwan"",""India"",""Ladakh"",""Indian Army""]"
5ef0d2c2d83b3587cb500ed0,,"[""\n                  JioFiber down for users across the country, Jio is working on a fix\n               ""]","[""\n                  JioFiber users in Delhi, Jaipur, Kolkata, Ahmedabad, Mumbai, Hyderabad and Bengaluru have been facing issues. Adjoining areas have also been facing issues as well.\n               ""]",,,
5ef0d2c3d83b3587cb500ed1,"[""editorials""]","[""On China, put India first | HT Editorial""]","[""Self-interest must guide the response to China’s aggression""]","[""Updated: Jun 22, 2020 19:27 IST""]","[""India should react to China’s act of aggression in eastern Ladakh through all means at its disposal — economic, military, and diplomatic. That is a given and there can be no argument about it. None. That said, India should also ensure that everything it does is driven by self-interest above all else, particularly in the economic domain. There is a clamour for cancelling contracts given to some Chinese companies across areas such as engineering and construction. So, how should New Delhi go about this? "",""It is easy to see why Chinese companies should be barred from all strategic areas — not just defence but also domains such as information technology and communications. There is a very opaque relationship between the private sector and the government in China and most Chinese private companies and entrepreneurs ensure their objectives are in sync with Beijing’s larger vision. In return, the Chinese government has supported these private companies, helping them grow and spread their network across the globe. In these areas, India’s answer, when it comes to participation by Chinese firms, should be a straightforward and unambiguous No. "",""But the line can’t be as hard when it comes to other areas. As this newspaper has reported, India depends on China for several raw materials and intermediary products (or components). Chinese companies are good at heavy engineering. India would do well to tap this expertise and continue to keep these supply chains going in its own interest. Sure, it is always good to manufacture locally, but it won’t be possible to do so overnight. Even when it does become possible, it may not make economic sense in the case of some products. Nor, for that matter, does it make sense to say no to Chinese capital, as long as investments aren’t allowed in strategic areas and there continues to be a clear line between ownership (or beneficial ownership) and management. Over the past few days, some state governments have cancelled contracts issued to Chinese companies for largely non-strategic work. This is not a good idea for two reasons. One, doing so may result in protracted and expensive arbitration. Two, more important, most of these contracts were given out to the lowest bidder. Re-tendering those contracts may cause delays that India can ill-afford as it seeks to rebuild its economy. We must get back at the Chinese, but always driven by the principle of self-interest.  ""]","[""CHINA"",""India"",""New delhi""]"
5ef0d2c5d83b3587cb500ed2,"[""india""]","[""News updates from Hindustan Times: KCR appoints Col Santosh’s wife as govt officer and all the latest news""]","[""Here are today’s top news, analysis and opinion. Know all about the latest news and other news updates from Hindustan Times.""]","[""Updated: Jun 22, 2020 20:57 IST""]","[""Here are today’s top news, analysis and opinion. Know all about the latest news and other news updates from Hindustan Times."",""Stating that the Telangana government would extend all support to the family of Colonel Santosh Babu who died in the clashes with Chinese troops at Galwan valley in Eastern Ladakh last week, chief minister K Chandrasekhar Rao on Monday offered a letter of appointment to the slain Colonel’s wife Santoshi as a Group-I officer."",""Maharashtra industries minister Subhash Desai on Monday said  that the Maha Vikas Aghadi – a three-party coalition government comprising the Shiv Sena, the Nationalist Congress (NCP) and the Congress – has decided to temporarily put on hold the Memorandum of Understanding (MoU) worth Rs 5,020 crore recently signed with three Chinese companies."",""Congress leader  Rahul Gandhi has been stepping up his attack on the Modi government since 20 Indian soldiers died in a deadly clash against the Chinese troops in Ladakh. On Monday,  he  wanted to know why is China busy praising Prime Minister Narendra Modi amid tension in bilateral ties and fight over the Line of Actual Control (LAC) in the Galwan area."",""Rohit Sharma’s return to Test cricket as an opener was one of the biggest success stories in Indian cricket in 2019. Rohit has been a force to reckon with in limited overs cricket but his Test career has been a stop and start one. Former England captain Nasser Hussain, known for his sharp analysis as a cricket pundit, said that Rohit Sharma is suited for the job."",""The anti-American sentiment in Wasp Network isn’t hard to detect, even without the film spelling it out in opening title cards, but the inelegant storytelling certainly makes one  wonder where the spy movie’s allegiances lie. It is the second time this month that actor Edgar Ramirez has been let down by a director named Olivier, in a Netflix film."",""Kangana Ranaut, who is known not to mince any words, has now called out well known Bollywood stylist Anaita Shroff Adajania, who is also the Fashion Director at Vogue India, for banning Kangana from working with the magazine and still continuing to use her pictures to “promote themselves”."",""Rescuers, who’re called in case someone spots a stray and doesn’t know how to help it, often get strange calls about exotic animals. However, this call left even the rescue team confused. A tweet details the account and it’s quite surprising."",""Following the violent clash between Indian  and Chinese troops in Ladakh’s Galwan Valley, the relationship between the two countries will deteriorate further, says Gautam Bambawale,  India’s former ambassador to China. Speaking  exclusively to HT”s senior editor Aditi Prasad, he however added that all channels of negotiations must remain open.""]","[""Narendra Modi"",""Rahul Gandhi"",""india"",""cricket""]"
